0001.wav|CAPITULO UNO						
0344.wav|Ahora tenía ternuras y delicadezas que conmovían profundamente						
0345.wav|—¡Vamos, ya te veo a mi gusto! ¡Jesús! ¡Qué guapo que estás! Mira, Pepa, mira, ¡ya tiene bigotito! ¡Enterito a su abuelo! 						
0346.wav|Su voz era débil y apagada						
0347.wav|Como si el pensamiento la abandonara para volar hacia las regiones de ultratumba, se quedó la anciana silenciosa, fija en el suelo la mirada	 					
0348.wav|Después de un rato prosiguió, sonriendo dolorosamente, con esa sonrisa de los ancianos próximos a morir—¿Cómo me encuentras, hijo? 						
0349.wav|¿Mal, verdad? ¿Te acuerdas?						
0350.wav|¡Antes tan fuerte, tan activa! ¡Estaba yo en todo! Ahora, aquí me tienes, como presa, como si tuviera grillos						
0351.wav|¡peor que si los tuviera! Aquí me tienes, clavada en el butaque, sin poder dar un paso;						
0352.wav|sin poder ayudar a tu tía						
0353.wav|¡La pobrecilla, que no para! Y yo que en nada le aligero el trabajo;						
0354.wav|antes, al contrario, le doy quehacer						
0355.wav|¡Estos nervios, hijo! Don Pancho Sarmiento, (es muy bueno con nosotras, ¡si vieras!) dice que todo lo que tengo es cosa de los nervios	 					
0356.wav|¡Nervios, nervios, y ello es que a mí se me van las fuerzas más y más cada día!						
0357.wav|Cuando dijo esto me hizo una señal de inteligencia, como indicándome que la engañaban, que ella no creía nada de cuanto le decían acerca de su enfermedad	 					
0358.wav|—Que te pongan la cena						
0359.wav|Mientras hablaremos de otra cosa						
0360.wav|Para cosas tristes, tiempo habrá						
0361.wav|Procuré tranquilizarla						
0362.wav|Le referí mil casos de enfermedades nerviosas que tenían aspecto de gravísimos males,						
0363.wav|y que con el tiempo y el cuidado habían desaparecido, dejando a los pacientes buenos y sanos						
0364.wav|Pareció convencida y, volviéndose a mí, me dijo sonriendo—Te habrás paseado mucho						
0365.wav|Vas a ver esto muy triste						
0366.wav|Tendrás razón, hijo;						
0367.wav|aquí nadie se mueve;						
0368.wav|todos viven como cansados, como abrumados de fastidio						
0369.wav|Saliste bien de tus exámenes, ¡ya lo sabemos! Nos lo dijo Ricardito Tejeda la noche que vino a visitarnos						
0370.wav|El pobrecillo te quiere mucho						
0371.wav|Nos contó que tenías mucho miedo						
0372.wav|Nosotras rezamos por tí;						
0373.wav|Pepa fué a misa ese día, y yo le encendí una lamparita a San Luisito, a tu San Luisito, para que te sacara con bien						
0374.wav|Y dime, ¿te entregaron el dinero que te mandamos para el traje?						
0375.wav|Ya sabemos que sí;						
0376.wav|pero te lo pregunto por saber si te lo dieron a tiempo						
0377.wav|—Sí; y por cierto que sentí mucho que ustedes hicieran ese sacrificio						
0378.wav|—¡Ah muchacho! ¿Ya vienes con lo del sacrificio, como en todas tus cartas?						
0379.wav|¡Qué sacrificio!						
0380.wav|—No, tía, pero						
0381.wav|—Era preciso que te presentaras bien						
0382.wav|Por fortuna en esos días recibimos un dinerito, el de la casa						
0383.wav|¿Ya sabes que la vendimos?						
0384.wav|—Sí; —contesté—creo que me lo escribieron						
0385.wav|—Tú dirás ¡estaba ya tan vieja! En reponerla se hubiera gastado más						
0386.wav|Comprendí que trataban de engañarme, de hacerme creer que vivían cómodamente						
0387.wav|—Mira, Pepa que le pongan a éste la cena						
0388.wav|¡Se come tan mal por esos caminos!						
0389.wav|Mi tía, la joven y Andrés se retiraron al comedor						
0390.wav|No tardaron en llamarme						
0391.wav|La joven se presentó diciendo—Que ya está la cena						
0392.wav|Acaricié a mi pobre tía, y pasé al sitio donde me esperaban						
0393.wav|Las buenas señoras quisieron tratarme a cuerpo de rey, y sin embargo, ¡qué cena tan modesta y tan triste!						
0394.wav|CAPITULO TRES						
0395.wav|Cerré la puerta, dejó en la mesa la brillante palmatoria, y de un soplo apagué la bujía						
0396.wav|De codos en el alféizar me puse a contemplar el cielo						
0397.wav|Los vientos otoñales habían extendido en pocos minutos negro manto de nubes, uniformemente obscuras, y sólo en un punto ralas y tenues, hacia el Oriente, 						
0398.wav|donde a través de blancos velos dejaban adivinar las más altas regiones del éter, los océanos superiores del aire, limpios, surcados por mil celajes voladores	 					
0399.wav|Se oía el ruido lejano de la lluvia						
0400.wav|Las plantas del jardincillo se balanceaban rumorosas						
0401.wav|Las adelfas columpiaban sus tallos flexibles;						
0402.wav|los floripondios mecían en la obscuridad sus campanas de raso, y en la espléndida copa de un naranjo las primeras gotas,						
0403.wav|gruesas y resonantes, caían con ímpetu extraordinario, precursoras de un largo aguacero						
0404.wav|Estaba yo en la casa de los míos						
0405.wav|Pero ¡ay! qué triste aparecía ante mis ojos						
0406.wav|No era aquella casita la casita alegre y risueña que me vio nacer, que albergó mi niñez y que me vio salir de allí bañado en lágrimas 						
0407.wav|¡La casa de mis padres era ajena! ¿Quiénes la habitaban?						
0408.wav|Acaso quien no era capaz de amarla y de estimar sus bellezas						
0409.wav|Allí murieron mis padres, dejándome en la cuna;						
0410.wav|allí el abuelo se durmió tranquilamente en el Señor;						
0411.wav|allí corrió mi vida regocijada y venturosa						
0413.wav|Bien visto, estaba solo;						
0414.wav|las buenas ancianas pronto emprenderían el eterno viaje, y me quedaría yo abandonado en un mundo que me causaba miedo 						
0415.wav|La lluvia arreciaba						
0416.wav|Truenos lejanos, pálido fulgurar de relámpagos distantes, anunciaban que la tempestad invadía la cordillera						
0417.wav|El agua caía a torrentes						
0418.wav|En el naranjo aleteaban los pájaros, amedrentados al sentir inundado su nido						
0419.wav|Una mariposa nocturna pasó rozándome la frente						
0420.wav|Encendí la bujía y cerré la vidriera						
0421.wav|Allí estaba mi lecho de niño, la camita de hierro con sus blancas colgaduras, y por la cual había yo suspirado tantas veces en el frío y desolado dormitorio del colegio 						
0422.wav|Allí estaba el aguamanil provisto de todo, con su toalla tejida por la tía Pepa						
0423.wav|Junto a la cama, arriba del buró, el cuadrito de San Luis Gonzaga						
0424.wav|Enfrente, sobre la cómoda, el retrato del abuelito						
0425.wav|A un lado un estante lleno de libros, y cerca de la ventana el pupitre del escolar, el negro pupitre de estudiante,						
0426.wav|compañero cariñoso del niño, confidente de sus amarguras, casi testigo de sus triunfos, mudo depositario de sus esperanzas	 					
0427.wav|Allí había colocado la mano discreta de la tía mis primeros libros de estudia, conservados cuidadosamente en la familia;						
0428.wav|desde el Catecismo de Ripalda y el Fleury, hasta la Gramática de Iriarte, aquella gramática atiborrada de malos versos, 						
0429.wav|que puso en mis manos don Basilio, el eterno alcalde de Villaverde, una noche inolvidable, la noche del reparto de premios	 					
0430.wav|Abrí los libros						
0431.wav|Aun conservaban en sus guardas la caricatura del maestro, don Román López, el pomposísimo Cicerón,						
0432.wav|cómo le llamábamos porque nunca hablaba del orador de Túsculo sin aplicarle rimbombante epíteto,						
0433.wav|y legibles todavía, notas, significados de inusitadas voces, sólo usadas de tal o cual poeta;						
0434.wav|listas de condiscípulos condenados a ser detenidos dos o tres horas, por no haber acertado con no sé qué dificultades horacianas	 					
0435.wav|¡Felices tiempos aquellos! ¡Cómo varían las cosas! ¿Dónde están las alegrías de aquella época?						
0436.wav|¿Dónde los infantiles regocijos?						
0437.wav|¿A dónde se fueron las ilusiones rosadas, las mariposillas de la infancia?						
0438.wav|Ahora todo ha cambiado;						
0439.wav|no hay sueños para el alma;						
0440.wav|la frente, antes soñadora, tiene ya la palidez del primer dolor;						
0441.wav|ya probé las amarguras de la vida, y sé que sus dejos se quedan en los labios para siempre						
0442.wav|En uno de los libros, al abrirle al acaso, tropezaron mis ojos con un nombre de mujer, ¡MATILDE!						
0443.wav|Así, entre dos admiraciones, como un grito de alegría, como la expresión de la más dulce esperanza,						
0444.wav|como la confesión de un afecto sofocado en el pecho, que un día se nos escapa irresistible y delata ante la malicia estudiantil, 						
0445.wav|ante la cruel y dura indiscreción de los condiscípulos,						
0446.wav|que una mujer de ese nombre tiene en nuestro corazón un altar, donde recibe culto y homenajes;						
0447.wav|donde sólo ella reina, señora de todo afecto puro, dueño de todos los pensamientos, soberana de nuestro albedrío						
0448.wav|Y me pareció mirar una niña pálida y rubia, esbelta y graciosa, de grandes ojos de color de violeta;						
0449.wav|una niña en cuyo semblante puso el cielo angelicales bellezas, que ataviada gallardamente con rica veste azul, corta la falda, 						
0450.wav|dejando ver unos pies brevísimos, pasaba y huía, e iba a perderse entre la sombra que proyectaba en el muro el blanco lecho la dulce niña objeto de mi primer amor,						
0451.wav|de ese amor primero que embalsama con su aroma de azucenas la más larga vida, toda una existencia						
0452.wav|No pude contenerme, y llevé a mis labios aquel libro, aquella página, aquel nombre que no gusto de repetir, aunque resuena en mis oídos como celeste melodía; 						
0453.wav|que está grabado en mi corazón;						
0454.wav|que no se aparta de mi mente;						
0455.wav|que para mí expresa todo cuanto hay de tierno y puro y santo aquí en la tierra						
0456.wav|No le olvido ni le olvidaré;						
0457.wav|quizás porque de niño le escribí tantas veces, a todas horas, en todas partes, en los libros,						
0458.wav|en los cuadernos, en cualquier papel que tenía yo cerca, cuando en mis manos había un lápiz o una pluma						
0459.wav|Nombre escrito en las arenas de la ribera;						
0460.wav|en las cortezas de los árboles;						
0461.wav|en la bóveda azul las noches consteladas, trazándole con el pensamiento, como sobre una pauta,						
0462.wav|de estrella en estrella, para verle extendido por los espacios ilimitados, irradiando en divina canopea						
0463.wav|¡Cómo me río ahora, al copiar estas páginas, de mis romanticismos de entonces! ¡Cómo me burlo de aquellos raptos amorosos, 						
0464.wav|de aquellos éxtasis quijotescos! Pero ¡ay! no lo hago impunemente;						
0465.wav|que me hiero en el pecho, me desgarro el corazón como si me arrastrara yo sobre él un haz de espinas						
0466.wav|Y sin embargo, aquello era una locura, un delirio de loco						
0467.wav|Aquella vida siempre dada al ensueño, siempre mecida en los columpios de la fantasía,						
0468.wav|alimentada y nutrida con platillos lamartinianos, era desviada, acaso perniciosa; pero ¡ay! tan bella, que cada hora, 						
0469.wav|suya se me antojaba como el canto de un poema sublime cuyas delicadezas y excelsitudes nos arrancan de esta pobre vida terrena y nos llevan a vivir en un mundo ideal;						
0470.wav|me parecen como una sinfonía adormecedora, algo como la música de los grandes maestros, así como de Mozart, Beethoven o Wagner, 						
0471.wav|que nos saca de la penosa y prosaica vida material y por breves horas nos hace felices, aniquilando en nosotros todo dolor, todo fastidio	 					
0472.wav|El cansancio me tenía rendido;						
0473.wav|el estropeo del viaje en la malhadada diligencia me había magullado de pies a cabeza, y principié a sentir el desmayo precursor del sueño	 					
0474.wav|A los diez y siete años siempre se duerme bien						
0475.wav|Ni tristezas domésticas ni el recuerdo de venturas desvanecidas nos quitan el sueño						
0476.wav|La cama albeaba en un rincón; el cariño velaba cerca de mí, y el aguacero con su ruido monótono me arrullaría dulcemente	 					
0477.wav|¡A la cama! Un soplo			 ¡Pfff! Ahora, como dijo Bécquer A dormir y roncar como un sochantre			
0478.wav|CAPITULO CUATRO						
0479.wav|No sé a qué hora desperté						
0480.wav|Desconocí el sitio en que me hallaba, me volví del otro lado y seguí durmiendo hasta las ocho de la mañana						
0481.wav|No quisieron, sin duda, despertarme, para que me desquitara de las desmañanadas del Colegio						
0482.wav|—¡Que duerma hasta que quiera!—dirían las buenas señoras						
0483.wav|—Harto habrá madrugado en diez años de encierro						
0484.wav|La luz que se filtraba por las junturas del techo y por las hendiduras de la ventana, alegre y regocijada me hizo dejar el lecho	 					
0485.wav|Fuera resonaba la escoba cantante de una barredora inteligente, cantaban pajarillos y cacareaban las gallinas						
0486.wav|Un gallo ronco lanzaba, de tiempo en tiempo, su canto de ensoberbecido sultán						
0487.wav|Presentía yo hermoso día, uno de esos inolvidables días que dan a las almas de los niños festivo buen humor;						
0488.wav|uno de esos días que convidan, a sacudir el yugo escolar para irse por los campos a tenderse bajo los álamos del río, cabe las ondas murmurantes, 						
0489.wav|cerca de las piedras cubiertas de musgo, lejos del dómino cetrino e irascible,						
0490.wav|lejos de las coplas del Iriarte, de las discusiones del Foro y de las catilinarias terríficas;						
0491.wav|día de los más bellos para salar						
0492.wav|Me olvidé de mi edad, me imaginé que tenía siete años, me persuadí de ello, y me dije—Lo que es hoy, me desayuno, y dejo al pomposo don Román con sus odas y sus églogas	 					
0493.wav|¡Allá se las avenga! Ahora						
0494.wav|¡Al cerro del Cristo, a las dehesas del Escobillar, a cortar guayabas en las sabanillas que bordan las orillas del Pedregoso! 						
0495.wav|Y, dicho y hecho, en pie						
0496.wav|Pronto estuve listo						
0497.wav|No procuré cambiar de traje, y me puse el muy empolvado de la víspera, que me olía a lo que huelen los caminos de la Mesa Central, a sequedad y tierra estéril	 					
0498.wav|Cuando entré en el comedor,—¡qué comedor!—una pieza de seis varas cuadradas, mi tía Pepa, muy risueña y parlera, me esperaba sentada a la mesa	 					
0499.wav|—¡Por Dios, Rorró! ¡Quieres que me dé un ataque! Son las nueve, y aquí me tienes, sin probar bocado, en espera del caballero, mientras éste duerme como un marqués	 					
0500.wav|Carmen no ha dormido en toda la noche, pensando en tí, muy contenta de haberte visto						
0501.wav|¡Tiene tu tía unas cosas! Dice que pronto liará el petate;						
0502.wav|que ya viniste y que, tal vez, eso nada más espera Dios para llevársela						
0503.wav|Así sucede todos los días;						
0504.wav|siempre amargándonos la vida con tristezas, siempre haciéndonos llorar						
0505.wav|Pero ¡vaya! a todo esto ni quien piense en el desayuno						
0506.wav|Señora Juana ¡aquí estamos ya! ¡El chocolatito! Tú tomarás café con leche, ¿no es eso?						
0507.wav|Ustedes los muchachos no gustan ya del chocolate;						
0508.wav|dicen que es antigualla						
0509.wav|Yo, hijo, como tu abuelo, chocolate y nada más;						
0510.wav|chocolate bueno eso sí						
0511.wav|Mira, Rorró a eso sí no puedo acostumbrarme, al chocolate malo	 ¿Comes algo?					
0512.wav|Dilo, muchacho, que para eso estás en tu casa						
0513.wav|Señora Juana a ver qué le hace usted a Rodolfo						
0514.wav|¡Hay que chiquear al niño!						
0515.wav|La buena de mi tía, no me dejaba hablar						
0516.wav|Suelta de lengua, viva, ingeniosa, era difícil cortarle el hilo una vez que principiaba a hablar						
0517.wav|No bien pidió el almuerzo, siguió diciendo—¿Ya sabes que está con nosotros una joven?						
0518.wav|¿No la viste anoche?						
0519.wav|—Creo que sí			 —¡Muy buena! ¡Muy buena! ¡Cómo un pan de gloria! Y te quiere mucho			
0520.wav|Parece que te conoció desde que eras así						
0521.wav|¿Te acuerdas qué travieso?						
0522.wav|¿Te acuerdas de cuando rompiste el juego de café de tu tía Carmen?						
0523.wav|Me parece que te fuiste a esconder en la bodega						
0524.wav|De allí te sacamos para que vinieras a comer, y viniste pálido y lloroso						
0525.wav|¡Tú dirás! Por unos cacharros cualesquiera						
0526.wav|Eran de China, y muy bonitos;						
0527.wav|pero qué importaba						
0528.wav|¡Todavía se acuerda de ellos tu tía! ¿Por qué te sonrojas?						
0529.wav|¡Vaya, hijo! ¿Todavía tienes miedo de que te castigue tu madrina?						
0530.wav|Efectivamente, el recuerdo de aquella diablura me sacaba al rostro los colores						
0531.wav|Se trataba de un precioso servicio de café, de legítima procedencia chinesca,						
0532.wav|que mi abuelo compró en un puerto del Pacífico, a bordo de un navío inglés que volvía del Celeste Imperio						
0533.wav|Era el encanto de la casa						
0534.wav|Un día, jugando a la pelota, ¡chas! quedó hecho pedazos						
0535.wav|—Pues bien, como te iba yo diciendo—prosiguió mi tía,—es muy buena muchacha			 			
0536.wav|y te quiere mucho						
0537.wav|Las últimas camisas que te mandamos las hizo ella, y ¡con qué cuidado!						
0538.wav|—Dígame usted, tía, ¿quién es esa joven?						
0539.wav|—¡Ahora te diré!—e interrumpiéndome, gritó —¡Angelina! ¡Angelina! ¡Ven acá!						
0540.wav|Y continuó, dirigiéndose a mí —Está, con Carmen						
0541.wav|Si tú vieras es muy hábil para todo, muy hacendosa, o, como dice, señora Juana, muy mujer! Es la alegría de la casa						
0542.wav|Parece un pajarito que a todas horas está cantando						
0543.wav|Nos tiene un cariño, un amor			 que			
0544.wav|¡Si te diga que pareces de la familia! ¡Qué cuidados con Carmen! Es muy viva, muy sabia;						
0545.wav|escribe que es un, encanto! Ya conoces su letra;						
0546.wav|ella escribe cuando yo estoy con la jaqueca						
0547.wav|La pobrecita ha sido muy desgraciada						
0548.wav|¡Dios le dé un buen marido!						
0549.wav|—Pues			 pedírselo a San Antonio¡			
0550.wav|—Lo merece, hijo, lo merece						
0551.wav|—Ya tendrá novio, ¿verdad, tía Pepa?						
0552.wav|O, por lo menos, sus amartelados						
0553.wav|—¿Qué? ¿qué dices?						
0554.wav|—Que ya tendrá novio			 —¿Novio Angelina?			
0555.wav|¡Por Dios, Rorró! ¡Qué otro vienes¡						
0556.wav|Y en tono dulce y suplicante agregó—¡Ay!, ¡Rorró! ¡No hagas malos juicios de las personas!						
0557.wav|En aquellos momentos llegó la joven						
0558.wav|Tímida y cortada se detuvo en el umbral;						
0559.wav|bajaba los ojos, y al parecer distraída jugaba con la punta del delantal						
0560.wav|—¿Me llamaba usted, doña Pepita? —dijo						
0561.wav|—Sí,—respondió mi tía,—para que conozcas al sobrino						
0562.wav|¿No deseabas conocerlo?						
0563.wav|Pues aquí lo tienes	 Ya lo ves					
0564.wav|La doncella murmuró una excusa						
0565.wav|Mi tía continuó, dirigiéndose a mí—Aquí tienes a la que, con esas manecitas, te hizo las camisas que te gustaron tanto; 						
0566.wav|la que bordó aquellos pañuelos que te mandamos de cuelga el día que cumpliste diez y siete años,						
0567.wav|¡Mentira parece! Y quien te conoció, así, chirriquitín, que cabías en un azafate						
0568.wav|Elogié las habilidades de Angelina						
0569.wav|Esta, confusa y contrariada, no alzaba los ojos para verme						
0570.wav|Mientras señora Juana ponía delante de mí el café, el pan, la mantequilla, y no recuerdo qué más, y en tanto que la tía Pepa me servía, admiré a la joven	 					
0571.wav|Era alta, esbeltísima y arrogante;						
0572.wav|había en ella esa externa y encantadora debilidad de las personas sensibles y delicadas que reside en todo el cuerpo y que se revela en todos los movimientos	 					
0573.wav|Su rostro era de lo más distinguido						
0574.wav|Pálida, con palideces de azucena, aquella carita fina y dulce se hacía casi marmórea por el contraste que producían en ella lo negro de los cabellos y lo espeso de las cejas	 					
0575.wav|Permanecía con la vista baja, con cierto aire gazmoño, sí, gazmoño, que no me causó buena impresión						
0576.wav|¿Cómo hacer para que me dejara ver sus ojos?						
0577.wav|—Vea usted, vea usted						
0578.wav|Angelina			 —dije precipitadamente,—ese pajarito que está bañándose			
0579.wav|Volvió el rostro, levantó la cabeza, y miró hacia la jaula						
0580.wav|—¿Ese es el que ha estado cantando?						
0581.wav|—¡Ese!—contestó, volviéndose a mí						
0582.wav|¡Qué hermosa! Ojos negros, luminosos, húmedos;						
0583.wav|nariz delgada, fina, correctísima; boca agraciada;						
0584.wav|mejillas en las cuales se dibujaban apenas lindos hoyuelos, que más acentuados, al reír la joven, serían encantadores						
0585.wav|—¡Buen cantante!—le dije, mirando al pajarillo						
0586.wav|—Le molestaría un poco						
0587.wav|Desde muy temprano se suelta cantando						
0588.wav|A veces,—agregó, haciendo un mohín risueño,—está insufrible						
0589.wav|Pude gozar entonces de la belleza singular de aquella boca, de aquellos labios rosados que dejaron ver, al plegarse dulcemente, una dentadura irreprochable	 					
0590.wav|Mi tía Pepa se entretenía con el chocolate, y yo me servía en una rebanada de pan la fresca e incitante mantequilla						
0591.wav|La anciana, como si quisiera establecer entre nosotros una corriente de recíproca simpatía, exclamó después de engullirse una sopa	 					
0592.wav|—Oye, Angelina, Rodolfo está muy contento de las camisas que le mandamos, y dice que nadie las hará mejores						
0593.wav|Elogia mucho las marcas de los pañuelos, y						
0594.wav|—¡Ay, señor!—murmuró la joven, trémula, y levemente sonrojada						
0595.wav|—Y dice también						
0596.wav|—prosiguió la santa señora, en un arranque de indiscreta sencillez,—dice			 que			
0597.wav|Comprendí la inconveniencia de mi tía, y la interrumpí						
0598.wav|—Tía, ¿qué tal, está bueno el soconusco?						
0599.wav|Pero ella no me oyó, o no quiso oírme						
0600.wav|—Dice que si ya						
0601.wav|—¡Tía!—exclamé sin poderme contener						
0602.wav|—¡Eso no debe decirse!						
0603.wav|—¡Adiós! ¿Y por qué no?						
0604.wav|—Porque no	 Angelina, turbada, nos veía con penosa curiosidad					
0605.wav|—¡Qué tiene eso! Dice que si ya tienes novio						
0606.wav|La doncella se estremeció de pies a cabeza, se encendió como una amapola, y bajó los ojos avergonzada						
0607.wav|—¡No!			 ¡no!			 —repitió entre dientes
0608.wav|—Ya lo ve usted, tía						
0609.wav|¡Qué malos ratos le hacemos pasar a esta buena niña!						
0610.wav|Se oyó el repicar de una campanilla						
0611.wav|Tía Carmen llamaba						
0612.wav|En esto encontró la doncella su salvación						
0613.wav|—Usted perdone						
0614.wav|—dijo—la señora necesita de mí						
0615.wav|CAPITULO CINCO						
0616.wav|Arrodillado delante de la enferma conversé largo rato						
0617.wav|La pobre anciana, aunque dulce y cariñosa, en realidad fué siempre áspera y severa, acaso agria						
0618.wav|Se contaba en la familia, que en su primera juventud se distinguía de mi madre y de mi tía Pepa en lo festivo de su conversación, en lo dulce de su trato	 					
0619.wav|Alegro y bulliciosa, muy dada a fiestas y saraos, encanto de toda buena sociedad,						
0620.wav|a los veinte años se tornó silenciosa, reservada, melancólica						
0621.wav|¿A qué se debió tal cambio?						
0622.wav|Ello es que la Carmelita, (así la nombraba el abuelito), renunció a los espectáculos, moderó su lujo en el vestir,						
0623.wav|se apartó del trato de sus compañeras, y engrosó las filas de las solteronas, innumerables en Villaverde						
0624.wav|Pero no era, como ellas, murmuradora y amiga de censurar a todo bicho viviente, vicio de cortijos y poblaciones,						
0625.wav|donde no se vive más que para espiar a los vecinos y relatar diariamente cuanto éstos hacen o dejan de hacer						
0626.wav|En mi tía Carmen no arraigó la murmuración ni halló tierra propicia la maledicencia,						
0627.wav|acaso porque a la nobleza de su alma repugnaba todo lo bajo y miserable						
0628.wav|Por lo contrario, en todas ocasiones salía en defensa del ausente, desgarrado en su buen nombre por las tijeras del gremio de soltería	 					
0629.wav|De aquí que todos la quisieran y la respetaran;						
0630.wav|de aquí, sin duda, que nadie, o muy pocos, gustaran de penetrar en los misterios de aquel cambio de carácter,631						
0631.wav|para ninguno inadvertido, que más que tal era resultado de una resolución hija de una voluntad inquebrantable y firme	 					
0632.wav|Se dijo,—así me lo contó una vez don Basilio,—que todo provenía de un desengaño amoroso						
0633.wav|Tía Carmen no tuvo, como todas las muchachas de Villaverde, muchos novios						
0634.wav|Para la festiva y bulliciosa señorita el amor era cosa muy grave y muy seria, con la cual no debía jugarse,						
0635.wav|sino algo, único en la vida, que se alcanza vivo, noble, duradero y dichoso;						
0636.wav|que asegura la felicidad o resulta malogrado, pasajero e infeliz, y al cual todo corazón bien puesto,						
0637.wav|toda alma elevada debe permanecer fiel en todos los instantes de la vida, hasta la hora de la muerte						
0638.wav|Fué el caso,—responda de la historia el señor alcalde,—que mi tía residió en Pluviosilla varios años,						
0639.wav|a la sazón que mi abuelo desempeñaba allí un importante papel político						
0640.wav|Como era natural, no le faltaron a la tía Carmita muy finos galanes, donceles amartelados que no la dejaban ni a sol ni a sombra; 						
0641.wav|que desde la esquina le hacían unos osos fenomenales;						
0642.wav|que la seguían a todas partes, lo mismo a las distribuciones piadosas en la iglesia de San Francisco, que,						
0643.wav|todos los domingos, a la misa de diez en el templo de San Juan de la Cruz,						
0644.wav|que era, en aquel antaño, la preferida de todas las muchachas lindas y en privanza, como ahora, en estos felices días, la misa de ocho en Santa Marta	 					
0645.wav|En un paréntesis agregaba el señor alcalde, que mi tía era uno de los palmitos más codiciados de la piadosa y próspera Pluviosilla	 					
0646.wav|Y no lo dudo en la familia se conservó durante muchos años, una miniatura hecha en Jalapa por Castillo, una miniatura, que, al decir de mi abuelo, era de mérito singular; 						
0647.wav|en la cual aparecía la Carmita con una hermosura y una cierta, majeza, dignas del pincel de Goya						
0648.wav|Majeza y hermosura que nada tenían de ordinario, vulgar y provocativo, cierta gracia andaluza, sevillana, que robaba las miradas y cautivaba el corazón	 					
0649.wav|Había que verla en aquel retrato amplio el escote; corto el talle; desnudo el torneado brazo; ricillos en las sienes;						
0650.wav|rica, donairosa mantilla, y ladeada peineta de boca de olla;						
0651.wav|ni más ni menos que la reina, doña María Luisa						
0652.wav|¡Con razón los pisaverdes y lechuguinos de Pluviosilla se bebían los vientos por mi hechicera tía!						
0653.wav|Sucedió lo que tenía que suceder, (aquí entra lo más importante de la historia del señor alcalde), que un gallardo capitán, guapo, discreto, elegante como el que más, 						
0654.wav|logró clavar una saeta en aquel corazoncito de roca, y consiguió que la rubia Carmita pusiera alma y vida en tan brillante y codiciado oficial	 					
0655.wav|Se la halló éste en un sarao;						
0656.wav|bailó con ella una contradanza y una ceremoniosa cuadrilla, le declaró su atrevido pensamiento,						
0657.wav|y la señorita dijo, terminantemente, que estaba dispuesta a dar la blanca mano a su admirador,						
0658.wav|siempre que el afortunado galán (que la escuchaba atusándose el audaz bigote), se dirigiera,						
0659.wav|cómo hacerlo debe todo caballero de altas prendas, al jefe de la familia, al señor mi abuelo						
0660.wav|El galán, a quien abonaban no sólo particulares prendas sino también nobilísimo abolengo,						
0661.wav|habló a su jefe, y con toda solemnidad pidió la mano de la señorita						
0662.wav|Todo se arregló a maravilla;						
0663.wav|Se disponía ya la boda cuando estalló en el Interior un pronunciamiento						
0664.wav|El regimiento tuvo que salir de Pluviosilla, y el matrimonio quedó aplazado						
0665.wav|De todo esto nada se sabía en la ciudad						
0666.wav|La familia hizo de ello un misterio, y los murmuradores se contentaron con repetir que el capitán Fuenleal estaba loco por mi tía, 						
0667.wav|pero que ésta envanecida y orgullosa de su hermosura,						
0668.wav|jugaba con el corazón de su amartelado, sin dejarse coger en las amorosas redes, sin dar prenda que la comprometiese más tarde	 					
0669.wav|Pasaron los días, los meses y los años, y nada supo Pluviosilla del capitán Fuenleal						
0670.wav|Unos contaban que había muerto en campaña, después de batirse como un héroe;						
0671.wav|otros que pereciera en un duelo a que le llevó una aventura escandalosa;						
0672.wav|quienes que se había casado en Guadalajara con una rica heredera;						
0673.wav|quienes qué estaba procesado por un delito que la Ordenanza castiga con pena de muerte						
0674.wav|Hasta que un día la rubia Carmita dio en vestir lutos, y lutos fueron por toda su vida						
0675.wav|Parece cierto—así lo asegura don Basilio,—que Fuenleal pereció en un duelo;						
0676.wav|pero no garantiza que fuera por causas de escandalosos amoríos ni por altos motivos de pundonor militar						
0677.wav|Mi tía permaneció fiel a la memoria de su único amor, fiel a su brillante y apuesto capitán						
0678.wav|Esta es la historia de la pobre anciana;						
0679.wav|a esto se atribuía su cambio de carácter, la melancolía de su rostro sus vestidos de luto, su acritud y su aspereza aparentes	 					
0680.wav|«Es una rosa,—decía don Basilio,—una rosa que de un día para otro se convirtió en cardo						
0681.wav|Siempre agria e intolerante conmigo hasta que dejé la casa paterna, hoy, acaso fuera por los sufrimientos de la enfermedad, se mostraba dulce, afable, tierna	 					
0682.wav|Se afanaba en mimarme, se complacía en satisfacer el menor de mis caprichos, y no sabía qué inventar para tenerme contento	 					
0683.wav|—No, hijito; —decía,—nosotras hemos sido contigo lo que debíamos ser hemos hecho las veces de madre						
0684.wav|Has que quieras; estás en tu casa;						
0685.wav|eres como el jefe de la familia						
0686.wav|Aquí estamos para servirte y obedecerte						
0687.wav|Pero qué, ¿vas a salir con ese traje? —agregó viendo el mío empolvado y sin aliño						
0688.wav|—No, vístete otro mejor	 Andrés trajo ya el baúl					
0689.wav|Vístete; sal a pasear, a que te vean						
0690.wav|Y al oírme decir que deseaba yo ir a vagar por los ejidos de Villaverde y por las márgenes del Pedregoso—Pero, dime ¿estás loco? 						
0691.wav|No eso será otro día						
0692.wav|Ahora, ponte elegante, y sal a visitar a los viejos amigos						
0693.wav|Ni un día ha pasado sin que pregunten por ti	 					
0694.wav|Visita a don Román, tu maestro; 						
0695.wav|al doctor Sarmiento, que es tan bueno con nosotras;						
